Helpful,Product ID,Rated Reviews,Review Score,Review Length,Exclamation Points,Helpful Fraction
1,B001E4KFG0,1,5.0,263,,1.0
,B00813GRG4,,1.0,190,,
1,B000LQOCH0,1,4.0,509,,1.0
3,B000UA0QIQ,3,2.0,219,,1.0
,B006K2ZZ7K,,5.0,140,,
,B006K2ZZ7K,,4.0,416,1.0,
,B006K2ZZ7K,,5.0,304,2.0,
,B006K2ZZ7K,,5.0,140,2.0,
1,B000E7L2R4,1,5.0,131,,1.0
,B00171APVA,,5.0,137,,
1,B0001PB9FE,1,5.0,779,3.0,1.0
4,B0009XLVG0,4,5.0,328,,1.0
1,B0009XLVG0,1,1.0,399,,1.0
2,B001GVISJM,2,4.0,97,3.0,1.0
4,B001GVISJM,5,5.0,113,,0.8
4,B001GVISJM,5,5.0,155,,0.8
,B001GVISJM,,2.0,195,1.0,
,B001GVISJM,,5.0,141,,
,B001GVISJM,,5.0,746,1.0,
,B001GVISJM,,5.0,145,,
,B001GVISJM,,5.0,262,,
,B001GVISJM,,5.0,323,,
,B001GVISJM,,5.0,147,,
,B001GVISJM,,5.0,92,,
,B001GVISJM,,5.0,274,3.0,
,B001GVISJM,,5.0,152,,
,B001GVISJM,1,1.0,88,,
,B001GVISJM,1,4.0,196,,
,B00144C10S,,5.0,506,2.0,
1,B0001PB9FY,1,5.0,779,3.0,1.0
,B003F6UO7K,,5.0,503,2.0,
,B003F6UO7K,1,5.0,104,,
19,B001EO5QW8,19,4.0,1099,,1.0
13,B001EO5QW8,13,4.0,481,,1.0
9,B001EO5QW8,9,5.0,537,,1.0
3,B001EO5QW8,3,4.0,417,,1.0
2,B001EO5QW8,2,5.0,245,4.0,1.0
1,B001EO5QW8,1,5.0,274,1.0,1.0
,B001EO5QW8,,4.0,498,,
,B001EO5QW8,,5.0,341,3.0,
,B001EO5QW8,,5.0,654,2.0,
,B001EO5QW8,,5.0,1223,,
,B001EO5QW8,,5.0,166,,
,B001EO5QW8,,5.0,193,,
,B001EO5QW8,,5.0,244,,
,B001EO5QW8,,3.0,213,,
,B001EO5QW8,,5.0,244,,
1,B001EO5QW8,2,3.0,114,,0.5
1,B001EO5QW8,2,4.0,271,,0.5
,B001EO5QW8,1,3.0,188,,
,B001EO5QW8,7,1.0,89,,
4,B000G6RPMY,4,5.0,370,,1.0
1,B000G6RPMY,1,4.0,1256,,1.0
,B000G6RPMY,,3.0,158,,
2,B002GWHC0G,2,4.0,382,,1.0
,B002GWHC0G,,5.0,324,,
2,B004N5KULM,2,5.0,198,1.0,1.0
1,B004N5KULM,1,5.0,176,,1.0
,B004N5KULM,,5.0,166,2.0,
,B004N5KULM,,5.0,117,,
2,B004N5KULM,4,3.0,152,,0.5
,B004N5KULM,2,5.0,168,,
2,B001EO5TPM,2,1.0,71,2.0,1.0
3,B005DUM9UQ,3,5.0,1027,3.0,1.0
1,B005DUM9UQ,1,5.0,312,,1.0
1,B005DUM9UQ,1,5.0,177,,1.0
,B005DUM9UQ,,5.0,789,3.0,
,B005DUM9UQ,1,2.0,479,,
,B000E7VI7S,,3.0,219,,
,B000E7VI7S,2,5.0,83,1.0,
2,B001GVISJC,2,5.0,385,1.0,1.0
1,B001GVISJC,1,5.0,662,1.0,1.0
,B006SQBRMA,,5.0,390,,
,B0059WXJKM,1,1.0,1746,3.0,
,B001EPPI84,,2.0,57,,
,B001EPPI84,,1.0,102,,
,B004X2KR36,,5.0,498,,
,B004X2KR36,,5.0,341,3.0,
,B004X2KR36,,3.0,130,,
,B005R8JE8O,,5.0,168,,
1,B0066DMI6Y,1,5.0,182,1.0,1.0
1,B0066DMI6Y,1,4.0,139,1.0,1.0
15,B003ZFRKGO,15,5.0,2308,,1.0
5,B0019CW0HE,5,3.0,426,,1.0
4,B0019CW0HE,4,3.0,361,,1.0
4,B0019CW0HE,4,5.0,249,1.0,1.0
1,B0019CW0HE,1,5.0,428,1.0,1.0
1,B0019CW0HE,1,5.0,206,1.0,1.0
1,B0019CW0HE,1,5.0,647,1.0,1.0
,B0019CW0HE,,5.0,240,3.0,
,B0019CW0HE,,5.0,197,,
,B0019CW0HE,,5.0,104,,
,B0019CW0HE,,5.0,187,,
,B0019CW0HE,,5.0,946,,
,B0019CW0HE,,5.0,114,1.0,
,B0019CW0HE,,5.0,350,,
,B0019CW0HE,,5.0,845,3.0,
,B0019CW0HE,,5.0,342,,
,B0019CW0HE,,5.0,405,,
,B0019CW0HE,1,1.0,182,,
4,B004K2IHUO,5,5.0,171,,0.8
2,B004K2IHUO,3,4.0,119,,0.6666666666666666
,B004K2IHUO,,4.0,239,,
,B004K2IHUO,,5.0,196,3.0,
,B004K2IHUO,,5.0,172,,
,B004K2IHUO,,5.0,259,1.0,
2,B004K2IHUO,8,3.0,98,,0.25
2,B001REEG6C,2,5.0,394,1.0,1.0
1,B001REEG6C,1,5.0,271,2.0,1.0
,B001REEG6C,,5.0,741,3.0,
2,B000J0HIT2,2,2.0,156,,1.0
3,B0037LW78C,3,5.0,279,,1.0
2,B0037LW78C,2,5.0,1774,,1.0
1,B0037LW78C,1,5.0,146,,1.0
,B0037LW78C,,5.0,282,5.0,
,B0037LW78C,,5.0,103,,
2,B0026Y3YBK,2,5.0,209,,1.0
,B0026Y3YBK,,5.0,468,2.0,
5,B003SE19UK,5,5.0,1540,,1.0
4,B003SE19UK,4,5.0,650,2.0,1.0
4,B003SE19UK,4,5.0,373,,1.0
2,B003SE19UK,2,5.0,490,,1.0
1,B003SE19UK,1,5.0,393,,1.0
1,B003SE19UK,1,5.0,733,,1.0
,B003SE19UK,,5.0,493,2.0,
,B003SE19UK,,5.0,299,,
,B003SE19UK,,5.0,247,1.0,
4,B003OB0IB8,4,4.0,209,,1.0
4,B003OB0IB8,4,5.0,185,2.0,1.0
3,B003OB0IB8,3,3.0,246,1.0,1.0
1,B003OB0IB8,1,5.0,200,,1.0
2,B003OB0IB8,3,2.0,230,,0.6666666666666666
,B003OB0IB8,,5.0,238,,
,B003OB0IB8,,5.0,372,,
,B003OB0IB8,,5.0,113,,
,B003OB0IB8,,4.0,363,1.0,
,B002SRYRE8,,5.0,308,2.0,
,B002SRYRE8,,5.0,170,,
